Product_ID,Product_Name,Category,Brand,Placement_Location,Placement_Type,Scene_Duration_Sec,Visibility_Score,Sales_Before,Sales_After,Revenue_Before,Revenue_After,Consumer_Age_Group,Consumer_Gender,Consumer_Income_Level,Media_Type,Episode_Movie,Air_Date,Region,Store_Location,Traffic_Score,Conversion_Rate_Before,Conversion_Rate_After
P016,Headphones,Electronics,AudioMax,Music Scene,Visual,38,8.6,2400,3600,72000,108000,18-24,Male,Medium,Movie,Music Biopic,2023-07-20,North America,Store Electronics,8.5,2.8,4.2
P017,Yogurt,Food,HealthyChoice,Breakfast Scene,Visual,16,7.7,5500,6700,16500,20100,25-34,Female,Medium,TV Show,Episode 4,2023-10-12,Europe,Store Dairy,7.8,4.1,5.1
P018,Smart Watch,Electronics,FitTrack,Fitness Scene,Visual,42,8.8,1650,2580,82500,129000,25-34,Female,High,Movie,Fitness Documentary,2023-08-28,Asia,Online,8.4,2.4,3.8
P019,Beer Brand,Beverages,BrewCo,Bar Scene,Visual,26,8.2,7200,9100,21600,27300,25-34,Male,Medium,TV Show,Episode 18,2023-11-07,North America,Store Beverage,8.6,4.8,6.2
P020,Backpack,Accessories,TravelGear,Travel Scene,Visual,34,7.4,2100,3150,63000,94500,18-24,Male,Low,Movie,Travel Adventure,2023-09-15,Europe,Store Luggage,7.7,2.7,4.1
P021,Cereal Brand,Food,MorningCrunch,Kitchen Scene,Visual,19,6.5,6800,7800,20400,23400,35-44,Female,Medium,TV Show,Episode 2,2023-12-01,Asia,Store Aisle 1,7.3,4.3,5.2
P022,Camera,Electronics,PhotoPro,Photography Scene,Visual,48,9.4,780,1290,78000,129000,35-44,Male,High,Movie,Photography Drama,2023-10-22,North America,Store Electronics,9.1,1.6,2.9
P023,Sneakers,Footwear,UrbanStep,Street Scene,Visual,24,8.3,3600,5200,108000,156000,18-24,Female,Medium,TV Show,Episode 14,2023-11-18,Europe,Store Display,8.4,3.2,4.8
P024,Chocolate Bar,Food,SweetTreats,Snack Scene,Visual,11,7.1,8200,9500,24600,28500,18-24,Male,Low,Movie,Teen Comedy,2023-11-05,Asia,Store Checkout,7.5,5.1,6.2
P025,Jacket,Apparel,StyleWear,Fashion Scene,Visual,36,9.0,1200,1950,72000,117000,25-34,Female,High,TV Show,Episode 9,2024-01-10,North America,Store Clothing,8.9,2.0,3.5
P026,Mineral Water,Beverages,PureH2O,Gym Scene,Visual,13,6.8,9500,11200,9500,11200,25-34,Male,Medium,Movie,Fitness Film,2023-12-15,Europe,Store Cooler,7.6,5.4,6.5
P027,Lipstick,Beauty,GlamColor,Makeup Scene,Visual,21,9.7,1450,2380,43500,71400,25-34,Female,High,TV Show,Episode 11,2024-02-05,Asia,Store Cosmetics,9.5,1.9,3.4
P028,Drone,Electronics,SkyTech,Aerial Scene,Visual,44,8.0,620,1050,62000,105000,25-34,Male,High,Movie,Tech Thriller,2024-01-20,North America,Online,8.1,1.4,2.6
P029,Protein Shake,Beverages,MuscleFuel,Workout Scene,Visual,17,7.6,4800,6200,14400,18600,18-24,Male,Medium,TV Show,Episode 16,2024-03-08,Europe,Store Nutrition,8.0,3.9,5.3
P030,Jeans,Apparel,DenimStyle,Casual Scene,Visual,29,8.5,2800,4100,84000,123000,18-24,Female,Medium,Movie,Coming of Age,2024-02-14,Asia,Store Clothing,8.3,3.0,4.6
